C_ID_UD_ORGANICA;C_DNM_UD_ORGANICA;C_ID_NIVEL_ADMON;C_ID_TIPO_ENT_PUBLICA;N_NIVEL_JERARQUICO;C_ID_DEP_UD_SUPERIOR;C_DNM_UD_ORGANICA;C_ID_DEP_UD_PRINCIPAL;C_DNM_UD_ORGANICA;B_SW_DEP_EDP_PRINCIPAL;C_ID_DEP_EDP_PRINCIPAL;C_DNM_UD_ORGANICA;C_ID_ESTADO;D_VIG_ALTA_OFICIAL;NIF_CIF
A01002820;Junta de Andalucía;2;;1;A99999999;Comunidades Autonomas;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01006827;Consejo Consultivo de Andalucía;2;CA;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;19/04/05;S4111001F
A01006828;Consejo Audiovisual de Andalucía;2;CA;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01018825;Consejo de Transparencia y Protección de Datos de Andalucía;2;CA;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01025636;Consejería de Justicia, Administración Local y Función Pública;2;;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;22/01/19;S4111001F
A01025637;Consejería de la Presidencia, Interior, Diálogo Social y Simplificación Administrativa;2;;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;22/01/19;S4111001F
A01025638;Consejería de Empleo, Empresa y Trabajo Autónomo;2;;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;22/01/19;S4111001F
A01025640;Consejería de Desarrollo Educativo y Formación Profesional;2;;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;22/01/19;S4111001F
A01025641;Consejería de Agricultura, Pesca, Agua y Desarrollo Rural;2;;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;22/01/19;S4111001F
A01025643;Consejería de Salud y Consumo;2;;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;22/01/19;S4111001F
A01025644;Consejería de Inclusión Social, Juventud, Familias e Igualdad;2;;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;22/01/19;S4111001F
A01025645;Consejería de Fomento, Articulación del Territorio y Vivienda;2;;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;22/01/19;S4111001F
A01025646;Consejería de Cultura y Deporte;2;;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;27/08/24;S4111001F
A01034372;Consejería de Economía, Hacienda y Fondos Europeos;2;CA;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;26/07/22;S4111001F
A01034433;Consejería de Universidad, Investigación e Innovación;2;;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;03/09/20;S4111001F
A01041432;Consejería de Sostenibilidad y Medio Ambiente;2;;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;27/08/24;S4111001F
A01041433;Consejería de Industria, Energía y Minas;2;;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;26/07/22;S4111001F
A01050736;Consejería de Turismo y Andalucía Exterior;2;;2;A01002820;Junta de Andalucía;A01002820;Junta de Andalucía;N;;;V;27/08/24;S4111001F
A01025647;Viceconsejería (Justicia, Administración Local y Función Pública);2;;3;A01025636;Consejería de Justicia, Administración Local y Función Pública;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01035332;Delegación Territorial de Justicia, Administración Local y Función Pública en Almería;2;;3;A01025636;Consejería de Justicia, Administración Local y Función Pública;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035359;Delegación Territorial de Justicia, Administración Local y Función Pública en Cádiz;2;CA;3;A01025636;Consejería de Justicia, Administración Local y Función Pública;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035374;Delegación Territorial de Justicia, Administración Local y Función Pública en Córdoba;2;CA;3;A01025636;Consejería de Justicia, Administración Local y Función Pública;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035380;Delegación Territorial de Justicia, Administración Local y Función Pública en Granada;2;;3;A01025636;Consejería de Justicia, Administración Local y Función Pública;A01002820;Junta de Andalucía;N;;;V;;
A01035393;Delegación Territorial de Justicia, Administración Local y Función Pública en Huelva;2;;3;A01025636;Consejería de Justicia, Administración Local y Función Pública;A01002820;Junta de Andalucía;N;;;V;;
A01035397;Delegación Territorial de Justicia, Administración Local y Función Pública en Jaén;2;;3;A01025636;Consejería de Justicia, Administración Local y Función Pública;A01002820;Junta de Andalucía;N;;;V;;
A01035401;Delegación Territorial de Justicia, Administración Local y Función Pública en Málaga;2;;3;A01025636;Consejería de Justicia, Administración Local y Función Pública;A01002820;Junta de Andalucía;N;;;V;;
A01035405;Delegación Territorial de Justicia, Administración Local y Función Pública en Sevilla;2;;3;A01025636;Consejería de Justicia, Administración Local y Función Pública;A01002820;Junta de Andalucía;N;;;V;;
A01004401;Delegación del Gobierno de la Junta de Andalucía en Cádiz;2;CA;3;A01025637;Consejería de la Presidencia, Interior, Diálogo Social y Simplificación Administrativa;A01002820;Junta de Andalucía;N;;;V;15/12/96;S4111001F
A01004425;Delegación del Gobierno de la Junta de Andalucía en Almería;2;CA;3;A01025637;Consejería de la Presidencia, Interior, Diálogo Social y Simplificación Administrativa;A01002820;Junta de Andalucía;N;;;V;15/12/96;S4111001F
A01004426;Delegación del Gobierno de la Junta de Andalucía en Córdoba;2;CA;3;A01025637;Consejería de la Presidencia, Interior, Diálogo Social y Simplificación Administrativa;A01002820;Junta de Andalucía;N;;;V;15/12/96;S4111001F
A01004427;Delegación del Gobierno de la Junta de Andalucía en Granada;2;CA;3;A01025637;Consejería de la Presidencia, Interior, Diálogo Social y Simplificación Administrativa;A01002820;Junta de Andalucía;N;;;V;15/12/96;S4111001F
A01004428;Delegación del Gobierno de la Junta de Andalucía en Huelva;2;CA;3;A01025637;Consejería de la Presidencia, Interior, Diálogo Social y Simplificación Administrativa;A01002820;Junta de Andalucía;N;;;V;15/12/96;S4111001F
A01004429;Delegación del Gobierno de la Junta de Andalucía en Jaén;2;CA;3;A01025637;Consejería de la Presidencia, Interior, Diálogo Social y Simplificación Administrativa;A01002820;Junta de Andalucía;N;;;V;15/12/96;S4111001F
A01004430;Delegación del Gobierno de la Junta de Andalucía en Sevilla;2;CA;3;A01025637;Consejería de la Presidencia, Interior, Diálogo Social y Simplificación Administrativa;A01002820;Junta de Andalucía;N;;;V;15/12/96;S4111001F
A01004434;Delegación del Gobierno de la Junta de Andalucía en Málaga;2;CA;3;A01025637;Consejería de la Presidencia, Interior, Diálogo Social y Simplificación Administrativa;A01002820;Junta de Andalucía;N;;;V;15/12/96;S4111001F
A01010222;Agencia Pública Empresarial de la Radio y Televisión de Andalucía (RTVA);2;CA;3;A01025637;Consejería de la Presidencia, Interior, Diálogo Social y Simplificación Administrativa;A01002820;Junta de Andalucía;N;;;V;26/12/07;Q4191001I
A01025648;Viceconsejería (Presidencia, Interior, Diálogo Social y Simplificación Administrativa);2;;3;A01025637;Consejería de la Presidencia, Interior, Diálogo Social y Simplificación Administrativa;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01035272;Agencia Digital de Andalucía;2;;3;A01025637;Consejería de la Presidencia, Interior, Diálogo Social y Simplificación Administrativa;A01002820;Junta de Andalucía;N;;;V;31/12/20;
A01014030;Instituto Andaluz de Prevención de Riesgos Laborales;2;;3;A01025638;Consejería de Empleo, Empresa y Trabajo Autónomo;A01002820;Junta de Andalucía;N;;;V;31/12/06;Q4100718H
A01025649;Viceconsejería (Empleo, Empresa y Trabajo Autónomo);2;;3;A01025638;Consejería de Empleo, Empresa y Trabajo Autónomo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01034565;Delegación Territorial de Empleo, Empresa y Trabajo Autónomo en Almería;2;CA;3;A01025638;Consejería de Empleo, Empresa y Trabajo Autónomo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01034567;Delegación Territorial de Empleo, Empresa y Trabajo Autónomo en Cádiz;2;CA;3;A01025638;Consejería de Empleo, Empresa y Trabajo Autónomo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01034569;Delegación Territorial de Empleo, Empresa y Trabajo Autónomo en Córdoba;2;CA;3;A01025638;Consejería de Empleo, Empresa y Trabajo Autónomo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01034572;Delegación Territorial de Empleo, Empresa y Trabajo Autónomo en Granada;2;CA;3;A01025638;Consejería de Empleo, Empresa y Trabajo Autónomo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01034575;Delegación Territorial de Empleo, Empresa y Trabajo Autónomo en Huelva;2;CA;3;A01025638;Consejería de Empleo, Empresa y Trabajo Autónomo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01034577;Delegación Territorial de Empleo, Empresa y Trabajo Autónomo en Jaén;2;CA;3;A01025638;Consejería de Empleo, Empresa y Trabajo Autónomo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01034579;Delegación Territorial de Empleo, Empresa y Trabajo Autónomo en Málaga;2;CA;3;A01025638;Consejería de Empleo, Empresa y Trabajo Autónomo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01034581;Delegación Territorial de Empleo, Empresa y Trabajo Autónomo en Sevilla;2;CA;3;A01025638;Consejería de Empleo, Empresa y Trabajo Autónomo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01025790;Viceconsejería (Desarrollo Educativo y Formación Profesional);2;CA;3;A01025640;Consejería de Desarrollo Educativo y Formación Profesional;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01035353;Delegación Territorial de Desarrollo Educativo y Formación Profesional y de Universidad, Investigación e Innovación en Almería;2;CA;3;A01025640;Consejería de Desarrollo Educativo y Formación Profesional;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035362;Delegación Territorial de Desarrollo Educativo y Formación Profesional y de Universidad, Investigación e Innovación en Cádiz;2;CA;3;A01025640;Consejería de Desarrollo Educativo y Formación Profesional;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
